p_zendar|禪 達　
p_town_1|柯 尼 斯 堡　
p_town_2|雷 瓦 爾　
p_town_3|基 輔　
p_town_4|維 爾 納　
p_town_5|謝 契　
p_town_6|華 沙　
p_town_7|利 沃 夫　
p_town_8|莫 斯 科　
p_town_9|普 斯 科 夫　
p_town_10|亞 速 堡　
p_town_11|切 爾 克 斯 克　
p_town_12|裡 加　
p_town_13|斯 摩 稜 斯 克　
p_town_14|貝 克 奇 撒 萊　
p_town_15|切 爾 尼 戈 夫　
p_town_16|克 拉 科 夫　
p_town_17|阿 克 曼　
p_town_18|克 孜 刻 爾 曼　
p_castle_1|茲 巴 拉 日 要 塞　
p_castle_2|克 茲 列 夫 要 塞　
p_castle_3|波 洛 茨 克　
p_castle_4|維 堡　
p_castle_5|德 文 斯 克 堡　
p_castle_6|諾 夫 哥 羅 德　
p_castle_7|基 爾 - 布 倫 要 塞　
p_castle_8|特 維 爾　
p_castle_9|波 爾 塔 瓦　
p_castle_10|科 夫 諾 要 塞　
p_castle_11|米 亞 捷 爾 斯 克 城 堡　
p_castle_12|納 爾 瓦　
p_castle_13|斯 武 茨 克　
p_castle_14|布 拉 茨 拉 夫　
p_castle_15|切 爾 卡 瑟　
p_castle_16|科 爾 松　
p_castle_17|皮 裡 柯 普　
p_castle_18|勒 熱 夫 要 塞　
p_castle_19|庫 爾 斯 克　
p_castle_20|羅 茲 城 堡　
p_castle_21|佩 列 亞 斯 拉 夫　
p_castle_22|卡 法　
p_castle_23|杜 邊 斯 克 城 堡　
p_castle_24|卡 緬 涅 茨　
p_castle_25|盧 布 林　
p_castle_26|明 斯 克　
p_castle_27|布 列 斯 特 要 塞　
p_castle_28|巴 爾 要 塞　
p_castle_29|布 良 斯 克 要 塞　
p_castle_30|伊 茲 梅 爾 要 塞　
p_castle_31|梁 贊　
p_castle_32|奧 爾 什 丁 堡　
p_castle_33|拉 蒂 任 要 塞　
p_castle_34|多 爾 帕 特 要 塞　
p_castle_35|利 達 堡　
p_castle_36|迪 納 堡 要 塞　
p_castle_37|圖 拉　
p_castle_38|卡 蘭 查 克 要 塞　
p_castle_39|伊 斯 猶 姆 要 塞　
p_castle_40|克 孜 勒 - 亞 爾 要 塞　
p_village_1|普 沃 茨 克　
p_village_2|瓦 多 維 采　
p_village_3|奧 夫 魯 赤　
p_village_4|杜 那 耶 夫 采　
p_village_5|埃 爾 賓　
p_village_6|維 達 瓦　
p_village_7|馬 克 斯 堡　
p_village_8|韋 森 貝 格　
p_village_9|波 格 列 比 謝　
p_village_10|列 德 基 諾　
p_village_11|奧 爾 達 什　
p_village_12|博 古 斯 拉 夫　
p_village_13|斯 特 瑞　
p_village_14|斯 蘭 齊　
p_village_15|巴 拉 諾 維 奇　
p_village_16|塔 魯 薩　
p_village_17|克 裡 維 奇　
p_village_18|波 內 裡　
p_village_19|波 克 羅 夫 斯 科 耶　
p_village_20|葉 夫 列 莫 沃　
p_village_21|奧 博 揚　
p_village_22|利 戈 夫　
p_village_23|馬 格 達 連 諾 夫 卡　
p_village_24|西 涅 利 尼 科 沃　
p_village_25|占 科 伊　
p_village_26|斯 諾 夫 斯 克　
p_village_27|斯 拉 武 塔　
p_village_28|錫 瓦 什　
p_village_29|錫 古 爾 達　
p_village_30|薩 利 斯　
p_village_31|皮 利 韋　
p_village_32|斯 塔 羅 諾 維 采　
p_village_33|拉 濟 武 夫　
p_village_34|莫 洛 迪 茲 諾　
p_village_35|斯 涅 日 科　
p_village_36|尼 德 裡 查　
p_village_37|布 賈 克　
p_village_38|索 萊 奇 尼 基　
p_village_39|奧 斯 特 羅 韋 茨　
p_village_40|克 雷 洛 夫　
p_village_41|圖 姆 涅 克　
p_village_42|波 洛 基　
p_village_43|阿 克 - 梅 切 特　
p_village_44|艾 撒 克　
p_village_45|因 克 爾 曼　
p_village_46|伊 林 奇　
p_village_47|佐 洛 托 諾 沙　
p_village_48|波 多 基　
p_village_49|努 蓋　
p_village_50|索 夫 羅 諾 沃　
p_village_51|魏 森 施 泰 因　
p_village_52|霍 羅 爾　
p_village_53|涅 斯 維 日　
p_village_54|琴 斯 托 霍 瓦　
p_village_55|盧 加　
p_village_56|托 馬　
p_village_57|巴 比 采　
p_village_58|亞 爾 奇　
p_village_59|洛 耶 夫　
p_village_60|多 布 魯 什　
p_village_61|列 阿 爾　
p_village_62|斯 塔 裡 察　
p_village_63|奧 斯 特 羅 文 卡　
p_village_64|科 貝 利 亞 基　
p_village_65|杜 貝 奇 尼 亞　
p_village_66|扎 莫 什 耶　
p_village_67|魯 德 尼 亞　
p_village_68|盧 別 涅 茨　
p_village_69|塔 皮 奧　
p_village_70|利 猶 博 金　
p_village_71|薩 姆 比 爾　
p_village_72|維 日　
p_village_73|科 澤 列 茨　
p_village_74|克 林　
p_village_75|柳 季 諾 沃　
p_village_76|查 普 勒　
p_village_77|帕 內 韋 日 斯　
p_village_78|帕 沃 洛 奇　
p_village_79|鮑 裡 斯 波 爾　
p_village_80|芬 道　
p_village_81|希 奧 利 艾　
p_village_82|查 基　
p_village_83|利 斯 揚 卡　
p_village_84|馬 斯 洛 夫 布 羅 德　
p_village_85|洛 克 尼 亞　
p_village_86|瓦 盧 伊 基　
p_village_87|普 倫 格　
p_village_88|基 利 亞　
p_village_89|利 斯 奇 諾 夫 卡　
p_village_90|科 洛 馬 克　
p_salt_mine|鹽 礦　
p_four_ways_inn|四 路 客 棧　
p_test_scene|測 試 場 景　
p_battlefields|戰 場　
p_dhorak_keep|多 拉 克 要 塞　
p_training_ground|傭 兵 營 寨　
p_training_ground_1|傭 兵 營 寨　
p_training_ground_2|傭 兵 營 寨　
p_training_ground_3|傭 兵 營 寨　
p_training_ground_4|傭 兵 營 寨　
p_training_ground_5|傭 兵 營 寨　
